    PID COMMAND
      1 /usr/lib/systemd/systemd --system --deserialize=119 splash
      2 [kthreadd]
      3 [pool_workqueue_release]
      4 [kworker/R-rcu_gp]
      5 [kworker/R-sync_wq]
      6 [kworker/R-kvfree_rcu_reclaim]
      7 [kworker/R-slub_flushwq]
      8 [kworker/R-netns]
     13 [kworker/R-mm_percpu_wq]
     14 [ksoftirqd/0]
     15 [rcu_preempt]
     16 [rcu_exp_par_gp_kthread_worker/1]
     17 [rcu_exp_gp_kthread_worker]
     18 [migration/0]
     19 [idle_inject/0]
     20 [cpuhp/0]
     21 [cpuhp/1]
     22 [idle_inject/1]
     23 [migration/1]
     24 [ksoftirqd/1]
     26 [kworker/1:0H-events_highpri]
     27 [cpuhp/2]
     28 [idle_inject/2]
     29 [migration/2]
     30 [ksoftirqd/2]
     32 [kworker/2:0H-events_highpri]
     33 [cpuhp/3]
     34 [idle_inject/3]
     35 [migration/3]
     36 [ksoftirqd/3]
     38 [kworker/3:0H-events_highpri]
     39 [cpuhp/4]
     40 [idle_inject/4]
     41 [migration/4]
     42 [ksoftirqd/4]
     44 [kworker/4:0H-events_highpri]
     45 [cpuhp/5]
     46 [idle_inject/5]
     47 [migration/5]
     48 [ksoftirqd/5]
     51 [cpuhp/6]
     52 [idle_inject/6]
     53 [migration/6]
     54 [ksoftirqd/6]
     56 [kworker/6:0H-events_highpri]
     57 [cpuhp/7]
     58 [idle_inject/7]
     59 [migration/7]
     60 [ksoftirqd/7]
     62 [kworker/7:0H-events_highpri]
     63 [cpuhp/8]
     64 [idle_inject/8]
     65 [migration/8]
     66 [ksoftirqd/8]
     68 [kworker/8:0H-events_highpri]
     69 [cpuhp/9]
     70 [idle_inject/9]
     71 [migration/9]
     72 [ksoftirqd/9]
     74 [kworker/9:0H-events_highpri]
     75 [cpuhp/10]
     76 [idle_inject/10]
     77 [migration/10]
     78 [ksoftirqd/10]
     80 [kworker/10:0H-events_highpri]
     81 [cpuhp/11]
     82 [idle_inject/11]
     83 [migration/11]
     84 [ksoftirqd/11]
     86 [kworker/11:0H-events_highpri]
     87 [cpuhp/12]
     88 [idle_inject/12]
     89 [migration/12]
     90 [ksoftirqd/12]
     92 [kworker/12:0H-events_highpri]
     93 [cpuhp/13]
     94 [idle_inject/13]
     95 [migration/13]
     96 [ksoftirqd/13]
     98 [kworker/13:0H-events_highpri]
     99 [cpuhp/14]
    100 [idle_inject/14]
    101 [migration/14]
    102 [ksoftirqd/14]
    104 [kworker/14:0H-events_highpri]
    105 [cpuhp/15]
    106 [idle_inject/15]
    107 [migration/15]
    108 [ksoftirqd/15]
    110 [kworker/15:0H-events_highpri]
    111 [cpuhp/16]
    112 [idle_inject/16]
    113 [migration/16]
    114 [ksoftirqd/16]
    116 [kworker/16:0H-events_highpri]
    117 [rcu_exp_par_gp_kthread_worker/2]
    118 [cpuhp/17]
    119 [idle_inject/17]
    120 [migration/17]
    121 [ksoftirqd/17]
    123 [kworker/17:0H-events_highpri]
    124 [cpuhp/18]
    125 [idle_inject/18]
    126 [migration/18]
    127 [ksoftirqd/18]
    129 [kworker/18:0H-kblockd]
    130 [cpuhp/19]
    131 [idle_inject/19]
    132 [migration/19]
    133 [ksoftirqd/19]
    135 [kworker/19:0H-events_highpri]
    136 [cpuhp/20]
    137 [idle_inject/20]
