system,seed,states_scored,typed_decision_failures,predicate_success_states,mean_chosen_realized_count_cost,mean_oracle_best_realized_count_cost,mean_gap_cost,transition_calls,linear_macs
hybrid-fixed-h1,20260908,24,0,n/a,59.785,48.252,11.532,177,253543296
hybrid-fixed-h1,20260909,24,0,n/a,59.785,48.252,11.532,177,253543296
hybrid-fixed-h1,20260910,24,0,n/a,58.567,48.252,10.315,177,253543296
continuous-fixed-h1,20260908,24,0,n/a,52.663,48.252,4.411,177,327839400
continuous-fixed-h1,20260909,24,0,n/a,57.767,48.252,9.515,177,327839400
continuous-fixed-h1,20260910,24,0,n/a,66.450,48.252,18.198,177,327839400
continuous-fixed-h5,20260908,24,0,n/a,53.626,48.252,5.374,885,1639197000
continuous-fixed-h5,20260909,24,0,n/a,66.450,48.252,18.198,885,1639197000
continuous-fixed-h5,20260910,24,0,n/a,57.767,48.252,9.515,885,1639197000
no-model-ordinal-prior,20260908,22,2,n/a,68.772,48.850,19.923,0,0
no-model-ordinal-prior,20260909,22,2,n/a,68.772,48.850,19.923,0,0
no-model-ordinal-prior,20260910,22,2,n/a,68.772,48.850,19.923,0,0

state,system,seed,failure,chosen_ordinal,chosen_realized_count_cost,chosen_replay_success,oracle_best_realized_count_cost,gap_cost,indicator_gap
issue-77-n1-001-a00,hybrid-fixed-h1,20260908,,12,54.457,n/a,38.563,15.894,n/a
issue-77-n1-001-a07,hybrid-fixed-h1,20260908,,12,54.457,n/a,38.563,15.894,n/a
issue-77-n1-003-a00,hybrid-fixed-h1,20260908,,11,44.939,n/a,41.677,3.262,n/a
issue-77-n1-003-a10,hybrid-fixed-h1,20260908,,11,44.939,n/a,41.677,3.262,n/a
issue-77-n1-004-a07,hybrid-fixed-h1,20260908,,12,92.468,n/a,77.595,14.874,n/a
issue-77-n1-005-a07,hybrid-fixed-h1,20260908,,8,67.431,n/a,67.431,0.000,n/a
issue-77-n1-006-a05,hybrid-fixed-h1,20260908,,12,73.807,n/a,63.951,9.857,n/a
issue-77-n1-006-a11,hybrid-fixed-h1,20260908,,12,73.807,n/a,63.951,9.857,n/a
issue-77-n1-007-a05,hybrid-fixed-h1,20260908,,12,70.731,n/a,61.919,8.812,n/a
issue-77-n1-007-a12,hybrid-fixed-h1,20260908,,12,70.731,n/a,61.919,8.812,n/a
issue-77-n1-008-a05,hybrid-fixed-h1,20260908,,12,67.156,n/a,50.814,16.341,n/a
issue-77-n1-008-a12,hybrid-fixed-h1,20260908,,12,67.156,n/a,50.814,16.341,n/a
issue-77-n1-009-a00,hybrid-fixed-h1,20260908,,12,54.644,n/a,47.712,6.932,n/a
issue-77-n1-009-a09,hybrid-fixed-h1,20260908,,12,54.644,n/a,47.712,6.932,n/a
issue-77-n1-010-a06,hybrid-fixed-h1,20260908,,12,70.092,n/a,33.362,36.730,n/a
issue-77-n1-011-a02,hybrid-fixed-h1,20260908,,12,52.747,n/a,45.768,6.978,n/a
issue-77-n1-011-a11,hybrid-fixed-h1,20260908,,12,52.747,n/a,45.768,6.978,n/a
issue-77-n1-012-a08,hybrid-fixed-h1,20260908,,12,66.346,n/a,54.447,11.900,n/a
issue-77-n1-013-a04,hybrid-fixed-h1,20260908,,12,65.693,n/a,57.876,7.817,n/a
issue-77-n1-014-a01,hybrid-fixed-h1,20260908,,12,46.459,n/a,41.708,4.751,n/a
issue-77-n1-014-a10,hybrid-fixed-h1,20260908,,12,46.459,n/a,41.708,4.751,n/a
issue-77-n1-015-a06,hybrid-fixed-h1,20260908,,12,54.366,n/a,27.495,26.871,n/a
issue-77-n1-016-a03,hybrid-fixed-h1,20260908,,12,44.277,n/a,27.810,16.468,n/a
issue-77-n1-016-a12,hybrid-fixed-h1,20260908,,12,44.277,n/a,27.810,16.468,n/a
issue-77-n1-001-a00,hybrid-fixed-h1,20260909,,12,54.457,n/a,38.563,15.894,n/a
issue-77-n1-001-a07,hybrid-fixed-h1,20260909,,12,54.457,n/a,38.563,15.894,n/a
issue-77-n1-003-a00,hybrid-fixed-h1,20260909,,11,44.939,n/a,41.677,3.262,n/a
issue-77-n1-003-a10,hybrid-fixed-h1,20260909,,11,44.939,n/a,41.677,3.262,n/a
issue-77-n1-004-a07,hybrid-fixed-h1,20260909,,12,92.468,n/a,77.595,14.874,n/a
issue-77-n1-005-a07,hybrid-fixed-h1,20260909,,8,67.431,n/a,67.431,0.000,n/a
issue-77-n1-006-a05,hybrid-fixed-h1,20260909,,12,73.807,n/a,63.951,9.857,n/a
issue-77-n1-006-a11,hybrid-fixed-h1,20260909,,12,73.807,n/a,63.951,9.857,n/a
issue-77-n1-007-a05,hybrid-fixed-h1,20260909,,12,70.731,n/a,61.919,8.812,n/a
issue-77-n1-007-a12,hybrid-fixed-h1,20260909,,12,70.731,n/a,61.919,8.812,n/a
issue-77-n1-008-a05,hybrid-fixed-h1,20260909,,12,67.156,n/a,50.814,16.341,n/a
issue-77-n1-008-a12,hybrid-fixed-h1,20260909,,12,67.156,n/a,50.814,16.341,n/a
issue-77-n1-009-a00,hybrid-fixed-h1,20260909,,12,54.644,n/a,47.712,6.932,n/a
issue-77-n1-009-a09,hybrid-fixed-h1,20260909,,12,54.644,n/a,47.712,6.932,n/a
issue-77-n1-010-a06,hybrid-fixed-h1,20260909,,12,70.092,n/a,33.362,36.730,n/a
issue-77-n1-011-a02,hybrid-fixed-h1,20260909,,12,52.747,n/a,45.768,6.978,n/a
issue-77-n1-011-a11,hybrid-fixed-h1,20260909,,12,52.747,n/a,45.768,6.978,n/a
issue-77-n1-012-a08,hybrid-fixed-h1,20260909,,12,66.346,n/a,54.447,11.900,n/a
issue-77-n1-013-a04,hybrid-fixed-h1,20260909,,12,65.693,n/a,57.876,7.817,n/a
issue-77-n1-014-a01,hybrid-fixed-h1,20260909,,12,46.459,n/a,41.708,4.751,n/a
issue-77-n1-014-a10,hybrid-fixed-h1,20260909,,12,46.459,n/a,41.708,4.751,n/a
