oracle_per_state,family,candidates,executed,typed_failures,successes,successful_ordinals,ceiling_indicator
issue-77-n1-001-a00,type010103,12,8,4,1,6,1
issue-77-n1-001-a07,type010103,12,12,0,1,6,1
issue-77-n1-003-a00,type010103,9,9,0,0,none,0
issue-77-n1-003-a10,type010103,9,7,2,0,none,0
issue-77-n1-004-a07,type010103,9,5,4,0,none,0
issue-77-n1-005-a07,type010103,4,0,4,0,none,
issue-77-n1-006-a05,type010103,13,12,1,1,5,1
issue-77-n1-006-a11,type010103,13,12,1,1,5,1
issue-77-n1-007-a05,type010103,13,11,2,0,none,0
issue-77-n1-007-a12,type010103,13,10,3,0,none,0
issue-77-n1-008-a05,type010103,13,12,1,0,none,0
issue-77-n1-008-a12,type010103,13,13,0,0,none,0
issue-77-n1-009-a00,type010105,13,13,0,0,none,0
issue-77-n1-009-a09,type010105,13,9,4,0,none,0
issue-77-n1-010-a06,type010105,13,9,4,0,none,0
issue-77-n1-011-a02,type010105,13,10,3,1,4,1
issue-77-n1-011-a11,type010105,13,11,2,0,none,0
issue-77-n1-012-a08,type010105,13,13,0,1,4,1
issue-77-n1-013-a04,type010105,13,11,2,0,none,0
issue-77-n1-014-a01,type010105,13,8,5,0,none,0
issue-77-n1-014-a10,type010105,13,7,6,0,none,0
issue-77-n1-015-a06,type010105,13,9,4,0,none,0
issue-77-n1-016-a03,type010105,13,10,3,0,none,0
issue-77-n1-016-a12,type010105,13,13,0,1,3,1

oracle_pooled_prevalence,states,ceiling_states,prevalence,descriptive_95_low,descriptive_95_high,label
engine_truth_first_shot,24,7,0.30434782608695654,0.13043478260869565,0.5217391304347826,DESCRIPTIVE

system_vs_oracle_selection,system,seed,state,ceiling_state,chosen_ordinal,chosen_branch_identity,chosen_successful,failure_kind
selection,hybrid-fixed-h1,20260908,issue-77-n1-001-a00,True,12,issue-77-n1-001-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-001-a00,True,12,issue-77-n1-001-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-001-a00,True,9,issue-77-n1-001-a09,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-001-a00,True,9,issue-77-n1-001-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-001-a00,True,7,issue-77-n1-001-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-001-a00,True,7,issue-77-n1-001-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-001-a00,True,9,issue-77-n1-001-a09,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-001-a00,True,7,issue-77-n1-001-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-001-a00,True,7,issue-77-n1-001-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-001-a00,True,8,issue-77-n1-001-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-001-a00,True,8,issue-77-n1-001-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-001-a00,True,8,issue-77-n1-001-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-001-a07,True,12,issue-77-n1-001-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-001-a07,True,12,issue-77-n1-001-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-001-a07,True,9,issue-77-n1-001-a09,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-001-a07,True,9,issue-77-n1-001-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-001-a07,True,7,issue-77-n1-001-a07,False,
