completion_per_slot,state,ordinal,issue87_typed_failure,completion_failure,first_shot_success,stability_signature
oracle--issue-77-n1-001-a00--a00,issue-77-n1-001-a00,0,TimeoutError: timed out,,False,False
oracle--issue-77-n1-001-a00--a01,issue-77-n1-001-a00,1,TimeoutError: timed out,,False,False
oracle--issue-77-n1-001-a00--a02,issue-77-n1-001-a00,2,TimeoutError: timed out,,False,False
oracle--issue-77-n1-001-a00--a05,issue-77-n1-001-a00,5,TimeoutError: timed out,,False,False
oracle--issue-77-n1-003-a10--a05,issue-77-n1-003-a10,5,TimeoutError: timed out,,False,False
oracle--issue-77-n1-003-a10--a11,issue-77-n1-003-a10,11,TimeoutError: timed out,,False,False
oracle--issue-77-n1-004-a07--a04,issue-77-n1-004-a07,4,TimeoutError: timed out,,False,False
oracle--issue-77-n1-004-a07--a05,issue-77-n1-004-a07,5,TimeoutError: timed out,,False,False
oracle--issue-77-n1-004-a07--a08,issue-77-n1-004-a07,8,TimeoutError: timed out,,False,False
oracle--issue-77-n1-004-a07--a11,issue-77-n1-004-a07,11,TimeoutError: timed out,,False,False
oracle--issue-77-n1-005-a07--a01,issue-77-n1-005-a07,1,ValueError: sealed pre-decision state/RGB advanced during readiness or hold,,False,False
oracle--issue-77-n1-005-a07--a02,issue-77-n1-005-a07,2,ValueError: sealed pre-decision state/RGB advanced during readiness or hold,ValueError: sealed pre-decision state/RGB advanced during readiness or hold,,True
oracle--issue-77-n1-005-a07--a07,issue-77-n1-005-a07,7,ValueError: sealed pre-decision state/RGB advanced during readiness or hold,,True,False
oracle--issue-77-n1-005-a07--a08,issue-77-n1-005-a07,8,TimeoutError: timed out,,False,False
oracle--issue-77-n1-006-a05--a09,issue-77-n1-006-a05,9,TimeoutError: timed out,,False,False
oracle--issue-77-n1-006-a11--a06,issue-77-n1-006-a11,6,TimeoutError: timed out,,False,False
oracle--issue-77-n1-007-a05--a02,issue-77-n1-007-a05,2,TimeoutError: Science Birds did not reach PLAYING before timeout,,False,False
oracle--issue-77-n1-007-a05--a11,issue-77-n1-007-a05,11,TimeoutError: timed out,,False,False
oracle--issue-77-n1-007-a12--a02,issue-77-n1-007-a12,2,TimeoutError: timed out,,False,False
oracle--issue-77-n1-007-a12--a06,issue-77-n1-007-a12,6,TimeoutError: timed out,,False,False
oracle--issue-77-n1-007-a12--a11,issue-77-n1-007-a12,11,TimeoutError: timed out,,False,False
oracle--issue-77-n1-008-a05--a04,issue-77-n1-008-a05,4,TimeoutError: timed out,,False,False
oracle--issue-77-n1-009-a09--a00,issue-77-n1-009-a09,0,TimeoutError: timed out,,False,False
oracle--issue-77-n1-009-a09--a03,issue-77-n1-009-a09,3,TimeoutError: timed out,,False,False
oracle--issue-77-n1-009-a09--a07,issue-77-n1-009-a09,7,TimeoutError: timed out,,False,False
oracle--issue-77-n1-009-a09--a09,issue-77-n1-009-a09,9,TimeoutError: timed out,,False,False
oracle--issue-77-n1-010-a06--a02,issue-77-n1-010-a06,2,TimeoutError: timed out,,True,False
oracle--issue-77-n1-010-a06--a06,issue-77-n1-010-a06,6,TimeoutError: timed out,,False,False
oracle--issue-77-n1-010-a06--a07,issue-77-n1-010-a06,7,TimeoutError: timed out,,False,False
oracle--issue-77-n1-010-a06--a11,issue-77-n1-010-a06,11,TimeoutError: timed out,,False,False
oracle--issue-77-n1-011-a02--a02,issue-77-n1-011-a02,2,TimeoutError: timed out,,False,False
oracle--issue-77-n1-011-a02--a05,issue-77-n1-011-a02,5,TimeoutError: timed out,,False,False
oracle--issue-77-n1-011-a02--a10,issue-77-n1-011-a02,10,TimeoutError: timed out,,False,False
