slot_identity,state_identity,source_member,family,study_role,ordinal,branch_identity,stratum,issue_87_failure,frozen_replay_count_cost,normalized_cost_position,frozen_cost_span_informative,frozen_replay_terminal_kind,frozen_replay_pig_removed,state_best_observed_pig_removed,is_type010105,published_outcome_first_shot_success,published_engine_channel_pig_removed,issue_87_wall_seconds,issue_87_engine_wall_seconds,dispatched_at_utc,dispatch_index,minutes_since_first_dispatch,live_at_dispatch,dispatch_burst_size,peak_cpu_rss_mib,join_complete,join_issue_80_candidate_table,join_issue_77_n1_coverage,join_issue_77_n1_replay,join_issue_73_headroom_registry,join_issue_87_dispatch_marker,join_issue_87_receipt
oracle--issue-77-n1-001-a00--a00,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,0,issue-77-n1-001-a00,timeout,TimeoutError: timed out,51.312510937452316,0.6755432734854803,True,right_censored,False,True,False,,,191.215683280956,,2026-09-22T02:46:32Z,0,0.0,1,4,994.9453125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a01,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,1,issue-77-n1-001-a01,timeout,TimeoutError: timed out,54.64991644024849,0.8523721026595364,True,native_fail,False,True,False,,,191.27593416487798,,2026-09-22T02:46:33Z,1,0.016666666666666666,2,4,970.2109375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a02,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,2,issue-77-n1-001-a02,timeout,TimeoutError: timed out,57.43619376420975,1.0,True,right_censored,False,True,False,,,191.23923364887014,,2026-09-22T02:46:35Z,2,0.05,3,4,958.1875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a03,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,3,issue-77-n1-001-a03,executed,,52.394064247608185,0.7328482085207801,True,native_fail,False,True,False,False,False,191.89014615071937,128.52358929393813,2026-09-22T02:46:36Z,3,0.06666666666666667,4,4,2355.3046875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a04,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,4,issue-77-n1-001-a04,executed,,55.153162717819214,0.8790360636239671,True,native_fail,False,True,False,False,False,169.6712777609937,107.971368372906,2026-09-22T02:49:46Z,4,3.2333333333333334,3,3,2398.36328125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a05,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,5,issue-77-n1-001-a05,timeout,TimeoutError: timed out,40.89357978105545,0.1235074492240396,True,right_censored,False,True,False,,,191.23960635391995,,2026-09-22T02:49:50Z,5,3.3,2,3,969.80078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a06,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,6,issue-77-n1-001-a06,executed,,57.15714907646179,0.9852151183365732,True,native_clear,True,True,False,True,True,215.99174576299265,145.8068023659289,2026-09-22T02:49:51Z,6,3.316666666666667,3,4,2697.703125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a07,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,7,issue-77-n1-001-a07,executed,,38.562543362379074,0.0,True,right_censored,False,True,False,False,False,230.5999289629981,158.13457373389974,2026-09-22T02:49:56Z,7,3.4,4,2,2132.87109375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a08,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,8,issue-77-n1-001-a08,executed,,49.09844487905502,0.5582333725782059,True,right_censored,False,True,False,False,False,215.60196857806295,138.24167079431936,2026-09-22T02:52:41Z,8,6.15,4,1,2509.23046875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a09,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,9,issue-77-n1-001-a09,executed,,53.040525406599045,0.7671002554341931,True,right_censored,False,True,False,False,False,202.0270283361897,126.88448411785066,2026-09-22T02:53:07Z,9,6.583333333333333,4,1,2432.3046875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a10,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,10,issue-77-n1-001-a10,executed,,55.02572891116142,0.8722841208919225,True,right_censored,False,True,False,False,False,223.95946061098948,148.61451795510948,2026-09-22T02:53:34Z,10,7.033333333333333,4,1,2683.375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a00--a12,issue-77-n1-001-a00,issue-77-n1-001,type010103,predictor_train,12,issue-77-n1-001-a12,executed,,54.456917971372604,0.8421462870506405,True,right_censored,False,True,False,False,False,224.3419552659616,152.65537753002718,2026-09-22T02:53:52Z,11,7.333333333333333,4,1,2586.96484375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a00,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,0,issue-77-n1-001-a00,executed,,51.312510937452316,0.6755432734854803,True,right_censored,False,True,False,False,False,207.0999631397426,135.2474292498082,2026-09-22T02:56:24Z,12,9.866666666666667,4,1,2900.86328125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a01,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,1,issue-77-n1-001-a01,executed,,54.64991644024849,0.8523721026595364,True,native_fail,False,True,False,False,False,167.7237349837087,103.1158597250469,2026-09-22T02:56:36Z,13,10.066666666666666,4,1,2342.3828125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a02,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,2,issue-77-n1-001-a02,executed,,57.43619376420975,1.0,True,right_censored,False,True,False,False,False,219.86468185903504,150.3862119000405,2026-09-22T02:57:28Z,14,10.933333333333334,4,1,2192.37890625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a03,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,3,issue-77-n1-001-a03,executed,,52.394064247608185,0.7328482085207801,True,native_fail,False,True,False,False,False,190.27245745202526,124.690113669727,2026-09-22T02:57:46Z,15,11.233333333333333,4,1,1956.75390625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a04,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,4,issue-77-n1-001-a04,executed,,55.153162717819214,0.8790360636239671,True,native_fail,False,True,False,False,False,165.8234970299527,105.00178609788418,2026-09-22T02:59:34Z,16,13.033333333333333,4,1,1797.6640625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a05,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,5,issue-77-n1-001-a05,executed,,40.89357978105545,0.1235074492240396,True,right_censored,False,True,False,False,False,218.5739250271581,146.24513735808432,2026-09-22T03:00:02Z,17,13.5,4,1,2421.7109375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a06,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,6,issue-77-n1-001-a06,executed,,57.15714907646179,0.9852151183365732,True,native_clear,True,True,False,True,True,214.94484975608066,144.34832353610545,2026-09-22T03:01:02Z,18,14.5,4,1,2600.0703125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a07,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,7,issue-77-n1-001-a07,executed,,38.562543362379074,0.0,True,right_censored,False,True,False,False,False,217.95365517074242,145.0644959351048,2026-09-22T03:01:18Z,19,14.766666666666667,4,1,1895.20703125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a08,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,8,issue-77-n1-001-a08,executed,,49.09844487905502,0.5582333725782059,True,right_censored,False,True,False,False,False,230.90667289029807,158.38603607518598,2026-09-22T03:02:29Z,20,15.95,4,1,2310.6875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a09,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,9,issue-77-n1-001-a09,executed,,53.040525406599045,0.7671002554341931,True,right_censored,False,True,False,False,False,205.6704018106684,133.18765225401148,2026-09-22T03:03:52Z,21,17.333333333333332,4,1,2054.2578125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a10,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,10,issue-77-n1-001-a10,executed,,55.02572891116142,0.8722841208919225,True,right_censored,False,True,False,False,False,255.6950195929967,183.16115935333073,2026-09-22T03:04:45Z,22,18.216666666666665,4,1,2685.71875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-001-a07--a12,issue-77-n1-001-a07,issue-77-n1-001,type010103,predictor_train,12,issue-77-n1-001-a12,executed,,54.456917971372604,0.8421462870506405,True,right_censored,False,True,False,False,False,222.6240410208702,146.08646218013018,2026-09-22T03:05:05Z,23,18.55,4,1,2365.23828125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a00,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,0,issue-77-n1-003-a00,executed,,46.082703679800034,0.5348631526943843,True,right_censored,False,False,False,False,False,231.67848277790472,154.8556307447143,2026-09-22T03:06:31Z,24,19.983333333333334,4,1,2291.80859375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a01,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,1,issue-77-n1-003-a01,executed,,41.677321672439575,0.0,True,native_fail,False,False,False,False,False,263.4461692208424,188.6542230490595,2026-09-22T03:07:25Z,25,20.883333333333333,4,1,2279.21484375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a02,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,2,issue-77-n1-003-a02,executed,,49.91378736495972,1.0,True,stable_without_clear,False,False,False,False,False,102.76354121603072,55.782243055291474,2026-09-22T03:08:58Z,26,22.433333333333334,4,1,1608.59375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a03,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,3,issue-77-n1-003-a03,executed,,41.892766892910004,0.02615748410948676,True,native_fail,False,False,False,False,False,199.95956235891208,132.13524293527007,2026-09-22T03:09:16Z,27,22.733333333333334,4,1,1986.46875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a05,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,5,issue-77-n1-003-a05,executed,,42.1502323448658,0.057416699113515705,True,native_fail,False,False,False,False,False,171.40622265497223,108.19083361001685,2026-09-22T03:10:38Z,28,24.1,4,1,1512.30078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a07,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,7,issue-77-n1-003-a07,executed,,42.184896141290665,0.061625275670368886,True,native_fail,False,False,False,False,False,206.14695399207994,133.63749286858365,2026-09-22T03:10:57Z,29,24.416666666666668,4,1,1891.23828125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a09,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,9,issue-77-n1-003-a09,executed,,42.06297332048416,0.04682246760219151,True,native_fail,False,False,False,False,False,158.91624697390944,98.97733444720507,2026-09-22T03:11:59Z,30,25.45,4,1,1862.265625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a10,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,10,issue-77-n1-003-a10,executed,,47.9614172577858,0.7629602088979811,True,right_censored,False,False,False,False,False,240.9246531892568,160.80313200177625,2026-09-22T03:12:52Z,31,26.333333333333332,4,1,3083.55078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a00--a11,issue-77-n1-003-a00,issue-77-n1-003,type010103,predictor_train,11,issue-77-n1-003-a11,executed,,44.938908994197845,0.3959935539730647,True,right_censored,False,False,False,False,False,322.4131517740898,185.93833004124463,2026-09-22T03:13:46Z,32,27.233333333333334,4,1,2540.17578125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a00,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,0,issue-77-n1-003-a00,executed,,46.082703679800034,0.5348631526943843,True,right_censored,False,False,False,False,False,268.9208820029162,177.27887463616207,2026-09-22T03:14:41Z,33,28.15,3,1,2930.953125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a01,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,1,issue-77-n1-003-a01,executed,,41.677321672439575,0.0,True,native_fail,False,False,False,False,False,254.11336645204574,166.62573536532,2026-09-22T03:14:52Z,34,28.333333333333332,4,1,2486.265625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a02,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,2,issue-77-n1-003-a02,executed,,49.91378736495972,1.0,True,stable_without_clear,False,False,False,False,False,130.28875942900777,79.81282562715933,2026-09-22T03:17:05Z,35,30.55,4,1,1079.05078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a03,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,3,issue-77-n1-003-a03,executed,,41.892766892910004,0.02615748410948676,True,native_fail,False,False,False,False,False,199.15674111014232,126.54855912737548,2026-09-22T03:19:12Z,36,32.666666666666664,2,1,1490.99609375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a05,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,5,issue-77-n1-003-a05,timeout,TimeoutError: timed out,42.1502323448658,0.057416699113515705,True,native_fail,False,False,False,,,191.26856076996773,,2026-09-22T03:19:21Z,37,32.81666666666667,2,2,951.5078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a07,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,7,issue-77-n1-003-a07,executed,,42.184896141290665,0.061625275670368886,True,native_fail,False,False,False,False,False,207.5062848990783,140.57873713085428,2026-09-22T03:19:23Z,38,32.85,3,2,2503.16015625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a09,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,9,issue-77-n1-003-a09,executed,,42.06297332048416,0.04682246760219151,True,native_fail,False,False,False,False,False,151.8627732177265,88.06668296875432,2026-09-22T03:19:37Z,39,33.083333333333336,4,1,1358.640625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a10,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,10,issue-77-n1-003-a10,executed,,47.9614172577858,0.7629602088979811,True,right_censored,False,False,False,False,False,233.93824385898188,154.5985048278235,2026-09-22T03:22:23Z,40,35.85,4,1,1321.53125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-003-a10--a11,issue-77-n1-003-a10,issue-77-n1-003,type010103,predictor_train,11,issue-77-n1-003-a11,timeout,TimeoutError: timed out,44.938908994197845,0.3959935539730647,True,right_censored,False,False,False,,,191.20448420895264,,2026-09-22T03:22:49Z,41,36.28333333333333,3,2,953.79296875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a01,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,1,issue-77-n1-004-a01,executed,,89.15073525905609,0.6607803009264553,True,native_fail,False,False,False,False,False,189.6512625538744,116.91786736715585,2026-09-22T03:22:50Z,42,36.3,4,2,2181.6484375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a02,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,2,issue-77-n1-004-a02,executed,,77.59451043605804,0.0,True,stable_without_clear,False,False,False,False,False,165.0306826774031,99.62230221927166,2026-09-22T03:23:14Z,43,36.7,4,1,1781.78125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a04,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,4,issue-77-n1-004-a04,timeout,TimeoutError: timed out,89.29847532510757,0.6692280186543168,True,stable_without_clear,False,False,False,,,191.23650159174576,,2026-09-22T03:26:13Z,44,39.68333333333333,2,3,954.55078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a05,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,5,issue-77-n1-004-a05,timeout,TimeoutError: timed out,87.47276210784912,0.5648344690666868,True,right_censored,False,False,False,,,191.2671464807354,,2026-09-22T03:26:14Z,45,39.7,3,3,951.578125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a06,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,6,issue-77-n1-004-a06,executed,,95.08326548337936,1.0,True,right_censored,False,False,False,False,False,240.63713607564569,168.9807188520208,2026-09-22T03:26:16Z,46,39.733333333333334,4,3,1587.0234375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a07,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,7,issue-77-n1-004-a07,executed,,89.3730959892273,0.6734947983031718,True,native_fail,False,False,False,False,False,154.42522285226732,93.6898491200991,2026-09-22T03:26:46Z,47,40.233333333333334,4,1,1986.88671875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a08,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,8,issue-77-n1-004-a08,timeout,TimeoutError: timed out,89.6346520781517,0.6884504705746792,True,stable_without_clear,False,False,False,,,191.34668130194768,,2026-09-22T03:29:48Z,48,43.266666666666666,2,3,954.2734375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a11,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,11,issue-77-n1-004-a11,timeout,TimeoutError: timed out,89.13522428274155,0.6598933895212367,True,native_fail,False,False,False,,,191.28800383023918,,2026-09-22T03:29:50Z,49,43.3,3,3,954.22265625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-004-a07--a12,issue-77-n1-004-a07,issue-77-n1-004,type010103,predictor_train,12,issue-77-n1-004-a12,executed,,92.46801167726517,0.8504608361751419,True,right_censored,False,False,False,False,False,231.98915584525093,160.92632522713393,2026-09-22T03:29:52Z,50,43.333333333333336,4,3,1082.77734375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-005-a07--a01,issue-77-n1-005-a07,issue-77-n1-005,type010103,controller_only,1,issue-77-n1-005-a01,stability,ValueError: sealed pre-decision state/RGB advanced during readiness or hold,82.47732925415039,1.0,True,stable_without_clear,False,True,False,,,74.9096057722345,,2026-09-22T03:30:37Z,51,44.083333333333336,4,1,990.51953125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-005-a07--a02,issue-77-n1-005-a07,issue-77-n1-005,type010103,controller_only,2,issue-77-n1-005-a02,stability,ValueError: sealed pre-decision state/RGB advanced during readiness or hold,76.56465220451355,0.6070423804066183,True,native_fail,False,True,False,,,33.145673288963735,,2026-09-22T03:32:16Z,52,45.733333333333334,4,1,976.05859375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-005-a07--a07,issue-77-n1-005-a07,issue-77-n1-005,type010103,controller_only,7,issue-77-n1-005-a07,stability,ValueError: sealed pre-decision state/RGB advanced during readiness or hold,81.68825840950012,0.9475582044814449,True,native_clear,True,True,False,,,74.59002712694928,,2026-09-22T03:33:14Z,53,46.7,2,1,993.078125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-005-a07--a08,issue-77-n1-005-a07,issue-77-n1-005,type010103,controller_only,8,issue-77-n1-005-a08,timeout,TimeoutError: timed out,67.4307268857956,0.0,True,right_censored,False,True,False,,,191.377545428928,,2026-09-22T03:33:31Z,54,46.983333333333334,3,2,954.10546875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a00,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,0,issue-77-n1-006-a00,executed,,71.18912154436111,0.7343586492515728,True,stable_without_clear,False,True,False,False,False,66.89772480307147,27.17920422088355,2026-09-22T03:33:33Z,55,47.016666666666666,4,2,1061.08984375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a01,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,1,issue-77-n1-006-a01,executed,,70.8892879486084,0.7039392092189974,True,stable_without_clear,False,True,False,False,False,67.54169166181237,27.92648898717016,2026-09-22T03:34:05Z,56,47.55,4,1,1020.953125,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a02,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,2,issue-77-n1-006-a02,executed,,72.4089207649231,0.8581126573656923,True,stable_without_clear,False,True,False,False,False,68.23181450599805,27.84260265575722,2026-09-22T03:34:48Z,57,48.266666666666666,3,1,1070.13671875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a03,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,3,issue-77-n1-006-a03,executed,,67.46209561824799,0.35623543936032526,True,native_fail,False,True,False,False,False,76.80628760531545,35.72384917084128,2026-09-22T03:35:04Z,58,48.53333333333333,4,1,1043.3046875,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a04,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,4,issue-77-n1-006-a04,executed,,66.06381070613861,0.2143732710279741,True,right_censored,False,True,False,False,False,206.555477112066,130.45237864321098,2026-09-22T03:35:33Z,59,49.016666666666666,4,1,2605.890625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a05,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,5,issue-77-n1-006-a05,executed,,63.9508096575737,0.0,True,right_censored,True,True,False,True,True,211.1683664927259,150.31693883705884,2026-09-22T03:36:16Z,60,49.733333333333334,4,1,1060.25,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a06,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,6,issue-77-n1-006-a06,executed,,70.81581646203995,0.696485203025454,True,native_fail,False,True,False,False,False,151.7167324097827,85.66178162023425,2026-09-22T03:36:42Z,61,50.166666666666664,4,1,2049.71484375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a07,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,7,issue-77-n1-006-a07,executed,,71.07304728031158,0.7225824034785939,True,stable_without_clear,False,True,False,False,False,123.10098574310541,66.98349072923884,2026-09-22T03:37:06Z,62,50.56666666666667,4,1,1050.6484375,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
oracle--issue-77-n1-006-a05--a08,issue-77-n1-006-a05,issue-77-n1-006,type010103,predictor_train,8,issue-77-n1-006-a08,executed,,70.7526216506958,0.6900738108356388,True,native_fail,False,True,False,False,False,167.2063268427737,103.75418845983222,2026-09-22T03:39:18Z,63,52.766666666666666,2,1,1746.06640625,True,joined,joined,joined,unjoinable:registry_disjoint_from_issue_77_membership,joined,joined
