pool,ordinal,successes,opportunities
n1,a00,0,12
n1,a01,0,12
n1,a02,1,12
n1,a03,2,12
n1,a04,5,12
n1,a05,2,12
n1,a06,2,12
n1,a07,0,12
n1,a08,0,12
n1,a09,0,12
n1,a10,0,12
n1,a11,0,10
n1,a12,0,12
cross_split,a00,0,14
cross_split,a01,0,13
cross_split,a02,2,13
cross_split,a03,1,13
cross_split,a04,1,14
cross_split,a05,0,14
cross_split,a06,1,16
cross_split,a07,0,16
cross_split,a08,0,17
cross_split,a09,0,13
cross_split,a10,1,15
cross_split,a11,0,16
cross_split,a12,3,15
bounded_pool,a00,1,45
bounded_pool,a01,1,45
bounded_pool,a02,3,43
bounded_pool,a03,3,45
bounded_pool,a04,5,44
bounded_pool,a05,3,45
bounded_pool,a06,4,43
bounded_pool,a07,0,45
bounded_pool,a08,0,44
bounded_pool,a09,0,44
bounded_pool,a10,3,44
bounded_pool,a11,3,44
bounded_pool,a12,6,44
