identity,kind,state,member,ordinal,engine_seed_first,engine_seed_second,retained_verdict,second_seed_verdict,agrees,frame_byte_equal,status,failure,engine_wall_seconds
seed2--issue-77-n1-001-a00--a03,anchor,issue-77-n1-001-a00,issue-77-n1-001,3,764100001,1764100001,False,False,True,True,executed,,71.4
seed2--issue-77-n1-003-a00--a00,anchor,issue-77-n1-003-a00,issue-77-n1-003,0,764100003,1764100003,False,False,True,True,executed,,95.4
seed2--issue-77-n1-004-a07--a01,anchor,issue-77-n1-004-a07,issue-77-n1-004,1,764100004,1764100004,False,False,True,False,executed,,71.4
seed2--issue-77-n1-006-a05--a00,anchor,issue-77-n1-006-a05,issue-77-n1-006,0,764100006,1764100006,False,False,True,True,executed,,14.4
seed2--issue-77-n1-007-a05--a00,anchor,issue-77-n1-007-a05,issue-77-n1-007,0,764100007,1764100007,False,False,True,True,executed,,44.6
seed2--issue-77-n1-008-a05--a00,anchor,issue-77-n1-008-a05,issue-77-n1-008,0,764100008,1764100008,False,False,True,True,executed,,83.4
seed2--issue-77-n1-009-a00--a00,anchor,issue-77-n1-009-a00,issue-77-n1-009,0,764100009,1764100009,False,False,True,False,executed,,94.4
seed2--issue-77-n1-010-a06--a00,anchor,issue-77-n1-010-a06,issue-77-n1-010,0,764100010,1764100010,False,False,True,True,executed,,76.0
seed2--issue-77-n1-011-a02--a00,anchor,issue-77-n1-011-a02,issue-77-n1-011,0,764100011,1764100011,False,False,True,False,executed,,74.4
seed2--issue-77-n1-012-a08--a00,anchor,issue-77-n1-012-a08,issue-77-n1-012,0,764100012,1764100012,False,False,True,True,executed,,86.4
seed2--issue-77-n1-013-a04--a00,anchor,issue-77-n1-013-a04,issue-77-n1-013,0,764100013,1764100013,False,False,True,True,executed,,84.6
seed2--issue-77-n1-014-a01--a00,anchor,issue-77-n1-014-a01,issue-77-n1-014,0,764100014,1764100014,False,False,True,True,executed,,79.6
seed2--issue-77-n1-015-a06--a00,anchor,issue-77-n1-015-a06,issue-77-n1-015,0,764100015,1764100015,False,False,True,False,executed,,75.0
seed2--issue-77-n1-016-a03--a00,anchor,issue-77-n1-016-a03,issue-77-n1-016,0,764100016,1764100016,False,False,True,True,executed,,47.2
seed2--issue-77-n1-001-a00--a06,success,issue-77-n1-001-a00,issue-77-n1-001,6,764100001,1764100001,True,True,True,True,executed,,85.8
seed2--issue-77-n1-006-a05--a05,success,issue-77-n1-006-a05,issue-77-n1-006,5,764100006,1764100006,True,True,True,True,executed,,85.4
seed2--issue-77-n1-010-a06--a02,success,issue-77-n1-010-a06,issue-77-n1-010,2,764100010,1764100010,True,True,True,True,executed,,74.3
seed2--issue-77-n1-011-a02--a04,success,issue-77-n1-011-a02,issue-77-n1-011,4,764100011,1764100011,True,True,True,False,executed,,45.3
seed2--issue-77-n1-012-a08--a04,success,issue-77-n1-012-a08,issue-77-n1-012,4,764100012,1764100012,True,True,True,True,executed,,35.0
seed2--issue-77-n1-014-a01--a04,success,issue-77-n1-014-a01,issue-77-n1-014,4,764100014,1764100014,True,True,True,True,executed,,77.6
seed2--issue-77-n1-016-a03--a03,success,issue-77-n1-016-a03,issue-77-n1-016,3,764100016,1764100016,True,True,True,True,executed,,56.7
seed2--issue-77-n1-003-a00--a01,control,issue-77-n1-003-a00,issue-77-n1-003,1,764100003,1764100003,False,False,True,True,executed,,89.2
seed2--issue-77-n1-004-a07--a02,control,issue-77-n1-004-a07,issue-77-n1-004,2,764100004,1764100004,False,False,True,False,executed,,57.9
seed2--issue-77-n1-007-a05--a01,control,issue-77-n1-007-a05,issue-77-n1-007,1,764100007,1764100007,False,False,True,True,executed,,76.4
seed2--issue-77-n1-008-a05--a01,control,issue-77-n1-008-a05,issue-77-n1-008,1,764100008,1764100008,False,False,True,True,executed,,50.9
seed2--issue-77-n1-009-a00--a01,control,issue-77-n1-009-a00,issue-77-n1-009,1,764100009,1764100009,False,False,True,False,executed,,97.3
