arm,family,mode,endpoint,ceiling_cells,hits,rate,interval_low,interval_high,interval_label,margin,chosen_in_band,chosen_histogram,typed_candidate_failures,transition_calls,controller_calls,gpu_seconds
continuous-adaptive-e225,continuous,adaptive,e225,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,4,"{0: 18, 1: 2, 5: 4, 7: 5, 10: 2, 11: 2, 12: 3}",0,113693,113693,12.479
continuous-adaptive-e600,continuous,adaptive,e600,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,{0: 36},0,263318,263318,29.039
continuous-fixed-h1-e225,continuous-fixed,h1,e225,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,"{0: 28, 1: 2, 8: 1, 11: 2, 12: 3}",0,192375,0,17.702
continuous-fixed-h1-e600,continuous-fixed,h1,e600,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,"{0: 35, 8: 1}",0,513000,0,46.995
continuous-fixed-h15-e225,continuous-fixed,h15,e225,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,1,"{1: 17, 3: 1, 7: 10, 11: 2, 12: 6}",0,12825,0,1.205
continuous-fixed-h15-e600,continuous-fixed,h15,e600,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,"{1: 14, 7: 12, 12: 10}",0,34200,0,3.192
continuous-fixed-h5-e225,continuous-fixed,h5,e225,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,"{1: 12, 7: 14, 12: 10}",0,38475,0,3.574
continuous-fixed-h5-e600,continuous-fixed,h5,e600,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,"{0: 32, 12: 4}",0,102600,0,9.421
hybrid-adaptive-e225,hybrid,adaptive,e225,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,2,"{0: 24, 1: 8, 5: 2, 12: 2}",0,126147,126147,18.731
hybrid-adaptive-e600,hybrid,adaptive,e600,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,"{0: 27, 1: 5, 12: 4}",0,250090,250090,37.872
hybrid-fixed-h1-e225,hybrid-fixed,h1,e225,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,{0: 36},0,192375,0,21.980
hybrid-fixed-h1-e600,hybrid-fixed,h1,e600,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,4,"{0: 30, 5: 4, 12: 2}",0,513000,0,58.801
hybrid-fixed-h15-e225,hybrid-fixed,h15,e225,36,2,0.055556,0.000000,0.142857,DESCRIPTIVE,0.5,3,"{1: 13, 3: 3, 10: 4, 12: 16}",0,12825,0,1.500
hybrid-fixed-h15-e600,hybrid-fixed,h15,e600,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,"{1: 31, 7: 2, 12: 3}",0,34200,0,3.968
hybrid-fixed-h5-e225,hybrid-fixed,h5,e225,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,0,"{1: 29, 7: 3, 12: 4}",0,38475,0,4.369
hybrid-fixed-h5-e600,hybrid-fixed,h5,e600,36,0,0.000000,0.000000,0.000000,DESCRIPTIVE,0.5,3,"{0: 26, 1: 6, 3: 3, 12: 1}",0,102600,0,11.753
