cell_identity,state,source_member,family,exposure_role,system,seed,typed_failure,n_candidates,verdict_slots,n_successes,successful_ordinals,chosen_ordinal,chosen_predicted_cost,chosen_in_success_band,top1_hit,top3_hit,chance_top1,chance_top3,auc,spearman_ordinal,spearman_drag_x,spearman_drag_y,bound_issue87_only,first_shot_success_issue87_only
decision--continuous-fixed-h1--seed20260908--issue-77-n1-001-a00,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260908,False,12,12,1,6,9,71.58166259527206,False,False,False,0.08333333333333333,0.25,0.5454545454545454,-0.9160839160839163,-0.9211923058649254,-0.9230769230769231,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-001-a07,issue-77-n1-001-a07,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260908,False,12,12,1,6,9,71.58166259527206,False,False,False,0.08333333333333333,0.25,0.5454545454545454,-0.9160839160839163,-0.9211923058649254,-0.9230769230769231,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-003-a00,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260908,False,9,9,0,,9,52.52537190914154,False,,,,,,-0.9166666666666666,-0.9288784237188525,-0.9333333333333332,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-003-a10,issue-77-n1-003-a10,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260908,False,9,9,0,,9,52.52537190914154,False,,,,,,-0.9166666666666666,-0.9288784237188525,-0.9333333333333332,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-004-a07,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260908,False,9,9,0,,8,102.87377309799194,False,,,,,,-0.8833333333333333,-0.8833333333333333,-0.8833333333333333,False,
decision--continuous-fixed-h1--seed20260908--issue-77-n1-005-a07,issue-77-n1-005-a07,issue-77-n1-005,type010103,training,continuous-fixed-h1,20260908,True,0,3,1,7,,,,,,,,,,,,False,
decision--continuous-fixed-h1--seed20260908--issue-77-n1-006-a05,issue-77-n1-006-a05,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260908,False,13,13,1,5,9,97.22274088859558,False,False,False,0.07692307692307693,0.23076923076923073,0.4166666666666667,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,False,
decision--continuous-fixed-h1--seed20260908--issue-77-n1-006-a11,issue-77-n1-006-a11,issue-77-n1-006,type010103,training,continuous-fixed-h1,20260908,False,13,13,1,5,9,97.22274088859558,False,False,False,0.07692307692307693,0.23076923076923073,0.4166666666666667,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-007-a05,issue-77-n1-007-a05,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260908,False,13,13,0,,9,85.88445967435837,False,,,,,,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
decision--continuous-fixed-h1--seed20260908--issue-77-n1-007-a12,issue-77-n1-007-a12,issue-77-n1-007,type010103,calibration,continuous-fixed-h1,20260908,False,13,13,0,,9,85.88445967435837,False,,,,,,-0.8736263736263737,-0.8775799223697635,-0.8791208791208791,True,False
