id,arm,statistic,unit,value,interval_low,interval_high,interval_label,detail
grid_coverage,grid,verdict coverage,slots,0.9666666666666667,,,,"{""typed_failure"": 8, ""verdict"": 232}"
grid_ceiling,grid,member ceiling,members,0.9333333333333333,0.8,1.0,DESCRIPTIVE,14 of 15
grid_auc_cell_unit,grid,within-state AUC,cell_unit,0.6177626606198034,0.578381991685563,0.6553689531368102,DESCRIPTIVE,126 cells
grid_auc_member_clustered,grid,within-state AUC,member_clustered,0.6177626606198033,0.512640306122449,0.7138893613000756,DESCRIPTIVE,126 cells
grid_auc_continuous-fixed-h1,grid,within-state AUC per system,member_clustered,0.5982993197278912,0.47981859410430844,0.7051077097505667,DESCRIPTIVE,
grid_auc_continuous-fixed-h5,grid,within-state AUC per system,member_clustered,0.6046485260770975,0.485374149659864,0.7124716553287981,DESCRIPTIVE,
grid_auc_hybrid-fixed-h1,grid,within-state AUC per system,member_clustered,0.6503401360544219,0.5562315759637187,0.7421811224489795,DESCRIPTIVE,
grid_top1,grid,top1 hit rate,cells,0.06349206349206349,,,,8/126; chance 0.08035714285714286
grid_top1_minus_chance,grid,top1 minus chance,member_clustered,-0.016865079365079368,-0.09375,0.11904761904761904,DESCRIPTIVE,
grid_top3,grid,top3 hit rate,cells,0.24603174603174602,,,,31/126; chance 0.235714285714286
grid_top3_minus_chance,grid,top3 minus chance,member_clustered,0.010317460317460312,-0.13432539682539682,0.17817460317460315,DESCRIPTIVE,
grid_mirror_top1,grid,mirror_top1 hit rate,cells,0.0,,,,0/126; chance 0.08035714285714286
grid_mirror_top1_minus_chance,grid,mirror_top1 minus chance,member_clustered,-0.08035714285714286,-0.09375,-0.06696428571428571,DESCRIPTIVE,
grid_miss_all,grid,one uniform draw per ceiling member misses everywhere,probability,0.30742910170702964,,,,
grid_spearman_ordinal,grid,median Spearman rho cost vs ordinal,cells,-0.75,,,,"{""continuous-fixed-h1"": -0.9264705882352942, ""continuous-fixed-h5"": -0.9264705882352942, ""hybrid-fixed-h1"": -0.4705882352941176}"
grid_spearman_drag_x,grid,median Spearman rho cost vs drag_x,cells,0.5699587188353825,,,,"{""continuous-fixed-h1"": 0.8124943438717155, ""continuous-fixed-h5"": 0.8124943438717155, ""hybrid-fixed-h1"": 0.24253562503633297}"
grid_spearman_drag_y,grid,median Spearman rho cost vs drag_y,cells,-0.8124943438717155,,,,"{""continuous-fixed-h1"": -0.5699587188353825, ""continuous-fixed-h5"": -0.5699587188353825, ""hybrid-fixed-h1"": -0.9701425001453319}"
grid_spearman_radius,grid,median Spearman rho cost vs radius,cells,-0.788235294117647,,,,"{""continuous-fixed-h1"": -0.9441176470588234, ""continuous-fixed-h5"": -0.9441176470588234, ""hybrid-fixed-h1"": -0.5235294117647059}"
