cell_identity,state,source_member,family,exposure_role,system,seed,typed_failure,n_candidates,verdict_slots,n_successes,successful_ordinals,chosen_ordinal,chosen_predicted_cost,chosen_in_success_band,top1_hit,top3_hit,chance_top1,chance_top3,auc,spearman_ordinal,spearman_drag_x,spearman_drag_y,bound_issue87_only,first_shot_success_issue87_only,arm,drag_x,drag_y,radius,angle_deg
decision--continuous-fixed-h1--seed20260908--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260908,False,16,16,1,1,15,68.37496489286423,True,False,False,0.0625,0.1875,0.13333333333333333,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260909--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260909,False,16,16,1,1,15,97.47998636960983,True,False,False,0.0625,0.1875,0.06666666666666667,-0.9558823529411766,0.8610014688789821,-0.49719803132448265,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260910--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260910,False,16,16,1,1,15,91.6471688747406,True,False,False,0.0625,0.1875,0.06666666666666667,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260908--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260908,False,16,16,1,1,15,49.86604630947113,True,False,False,0.0625,0.1875,0.13333333333333333,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260909--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260909,False,16,16,1,1,15,85.09927690029144,True,False,False,0.0625,0.1875,0.06666666666666667,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260910--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260910,False,16,16,1,1,15,79.85918200016022,True,False,False,0.0625,0.1875,0.06666666666666667,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260908,False,16,16,1,1,3,43.951701521873474,False,False,False,0.0625,0.1875,0.4666666666666667,0.0,-0.24253562503633297,-0.9701425001453319,True,False,grid,-40,80,89.44271909999159,63.43494882292201
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260909,False,16,16,1,1,15,60.74497348070145,True,False,False,0.0625,0.1875,0.26666666666666666,-0.4705882352941176,0.24253562503633297,-0.9701425001453319,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-001--grid,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260910,False,16,16,1,1,15,57.03205472230911,True,False,False,0.0625,0.1875,0.06666666666666667,-0.9176470588235294,0.8003675626198988,-0.5820855000871992,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260908--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260908,False,11,11,1,4,8,71.60673022270203,False,False,False,0.09090909090909091,0.2727272727272727,0.4,-0.881818181818182,-0.881818181818182,-0.881818181818182,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h1--seed20260909--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260909,False,11,11,1,4,5,101.93085485696793,True,False,True,0.09090909090909091,0.2727272727272727,0.9,0.13636363636363638,0.13636363636363638,0.13636363636363638,True,False,offset,-58,55,79.93122043357026,43.47923033885623
decision--continuous-fixed-h1--seed20260910--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260910,False,11,11,1,4,6,95.19271689653397,True,False,True,0.09090909090909091,0.2727272727272727,0.8,-0.33636363636363636,-0.33636363636363636,-0.33636363636363636,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--continuous-fixed-h5--seed20260908--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260908,False,11,11,1,4,8,61.26456707715988,False,False,False,0.09090909090909091,0.2727272727272727,0.4,-0.9,-0.9,-0.9,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h5--seed20260909--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260909,False,11,11,1,4,6,100.01304650306702,True,False,False,0.09090909090909091,0.2727272727272727,0.7,-0.41818181818181827,-0.41818181818181827,-0.41818181818181827,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--continuous-fixed-h5--seed20260910--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260910,False,11,11,1,4,6,94.58322733640671,True,False,False,0.09090909090909091,0.2727272727272727,0.7,-0.36363636363636365,-0.36363636363636365,-0.36363636363636365,True,False,offset,-51,62,80.2807573457052,50.55994726330954
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260908,False,11,11,1,4,10,43.90895164012909,False,False,False,0.09090909090909091,0.2727272727272727,0.4,-1.0,-1.0,-1.0,True,False,offset,-16,78,79.62411694957753,78.40782458970894
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260909,False,11,11,1,4,10,62.755737602710724,False,False,False,0.09090909090909091,0.2727272727272727,0.4,-1.0,-1.0,-1.0,True,False,offset,-16,78,79.62411694957753,78.40782458970894
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-001--offset,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260910,False,11,11,1,4,7,60.92576885223389,False,False,False,0.09090909090909091,0.2727272727272727,0.4,-0.7818181818181819,-0.7818181818181819,-0.7818181818181819,True,False,offset,-43,67,79.61155694998057,57.30801581742793
decision--continuous-fixed-h1--seed20260908--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260908,False,16,16,1,2,15,49.51633310317993,True,False,False,0.0625,0.1875,0.3333333333333333,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260909--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260909,False,16,16,1,2,15,74.90562689304352,True,False,False,0.0625,0.1875,0.2,-0.9558823529411766,0.8610014688789821,-0.49719803132448265,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260910--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260910,False,16,16,1,2,15,76.99536859989166,True,False,False,0.0625,0.1875,0.2,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260908--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260908,False,16,16,1,2,15,15.291563972830772,True,False,False,0.0625,0.1875,0.3333333333333333,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260909--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260909,False,16,16,1,2,15,44.045629382133484,True,False,False,0.0625,0.1875,0.2,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260910--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260910,False,16,16,1,2,15,49.432870268821716,True,False,False,0.0625,0.1875,0.2,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260908,False,16,16,1,2,3,46.04742729663849,False,False,False,0.0625,0.1875,0.7333333333333333,0.0,-0.24253562503633297,-0.9701425001453319,True,False,grid,-40,80,89.44271909999159,63.43494882292201
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260909,False,16,16,1,2,15,56.76395398378372,True,False,False,0.0625,0.1875,0.5333333333333333,-0.4705882352941176,0.24253562503633297,-0.9701425001453319,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-003--grid,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260910,False,16,16,1,2,15,50.19131934642792,True,False,False,0.0625,0.1875,0.3333333333333333,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260908--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260908,False,11,11,1,6,8,52.545912742614746,False,False,False,0.09090909090909091,0.2727272727272727,0.7,-0.9,-0.9,-0.9,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h1--seed20260909--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260909,False,11,11,1,6,5,79.26661479473114,True,False,True,0.09090909090909091,0.2727272727272727,0.9,0.11818181818181818,0.11818181818181818,0.11818181818181818,True,False,offset,-58,55,79.93122043357026,43.47923033885623
decision--continuous-fixed-h1--seed20260910--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260910,False,11,11,1,6,6,80.2522599697113,True,True,True,0.09090909090909091,0.2727272727272727,1.0,-0.36363636363636365,-0.36363636363636365,-0.36363636363636365,True,True,offset,-51,62,80.2807573457052,50.55994726330954
decision--continuous-fixed-h5--seed20260908--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260908,False,11,11,1,6,8,26.231081515550613,False,False,False,0.09090909090909091,0.2727272727272727,0.6,-0.9363636363636365,-0.9363636363636365,-0.9363636363636365,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h5--seed20260909--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260909,False,11,11,1,6,6,58.64494824409485,True,True,True,0.09090909090909091,0.2727272727272727,1.0,-0.5454545454545455,-0.5454545454545455,-0.5454545454545455,True,True,offset,-51,62,80.2807573457052,50.55994726330954
decision--continuous-fixed-h5--seed20260910--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h5,20260910,False,11,11,1,6,6,63.317134141922,True,True,True,0.09090909090909091,0.2727272727272727,1.0,-0.5454545454545455,-0.5454545454545455,-0.5454545454545455,True,True,offset,-51,62,80.2807573457052,50.55994726330954
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260908,False,11,11,1,6,10,46.00485122203827,False,False,False,0.09090909090909091,0.2727272727272727,0.6,-1.0,-1.0,-1.0,True,False,offset,-16,78,79.62411694957753,78.40782458970894
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260909,False,11,11,1,6,10,58.36341041326523,False,False,False,0.09090909090909091,0.2727272727272727,0.6,-1.0,-1.0,-1.0,True,False,offset,-16,78,79.62411694957753,78.40782458970894
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-003--offset,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,hybrid-fixed-h1,20260910,False,11,11,1,6,8,53.71946918964386,False,False,False,0.09090909090909091,0.2727272727272727,0.6,-0.9363636363636365,-0.9363636363636365,-0.9363636363636365,True,False,offset,-34,72,79.62411694957753,64.72227776444704
decision--continuous-fixed-h1--seed20260908--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260908,False,16,16,1,7,15,99.75150632858276,True,False,False,0.0625,0.1875,0.8,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260909--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260909,False,16,16,1,7,15,137.946342587471,True,False,False,0.0625,0.1875,0.6,-0.9558823529411766,0.8610014688789821,-0.49719803132448265,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h1--seed20260910--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h1,20260910,False,16,16,1,7,15,124.00469648838043,True,False,False,0.0625,0.1875,0.6666666666666666,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260908--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260908,False,16,16,1,7,15,71.89397346973419,True,False,False,0.0625,0.1875,0.8,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260909--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260909,False,16,16,1,7,15,127.49451488256454,True,False,False,0.0625,0.1875,0.6666666666666666,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--continuous-fixed-h5--seed20260910--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,continuous-fixed-h5,20260910,False,16,16,1,7,15,95.81666779518127,True,False,False,0.0625,0.1875,0.6666666666666666,-0.9264705882352942,0.8124943438717155,-0.5699587188353825,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260908,False,16,16,1,7,3,83.34166204929352,False,False,True,0.0625,0.1875,0.9333333333333333,0.0,-0.24253562503633297,-0.9701425001453319,True,False,grid,-40,80,89.44271909999159,63.43494882292201
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260909,False,16,16,1,7,15,101.5838628411293,True,False,True,0.0625,0.1875,0.8666666666666667,-0.4705882352941176,0.24253562503633297,-0.9701425001453319,True,False,grid,-160,80,178.88543819998318,26.56505117707799
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-004--grid,issue-77-n1-004-a07,issue-77-n1-004,type010103,training,hybrid-fixed-h1,20260910,False,16,16,1,7,15,90.852101624012,True,False,False,0.0625,0.1875,0.8,-0.75,0.5699587188353825,-0.8124943438717155,True,False,grid,-160,80,178.88543819998318,26.56505117707799
