cell_identity,state,source_member,family,exposure_role,system,seed,typed_failure,n_candidates,verdict_slots,n_successes,successful_ordinals,chosen_ordinal,chosen_predicted_cost,chosen_in_success_band,top1_hit,top3_hit,chance_top1,chance_top3,auc,spearman_ordinal,spearman_drag_x,spearman_drag_y,bound_issue87_only,first_shot_success_issue87_only,arm,drag_x,drag_y,radius,angle_deg,radius_px,realized_angle_deg,expected_speed,realized_speed
decision--continuous-fixed-h1--seed20260908--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260908,False,20,20,0,,19,71.63303124904633,False,,,,,,-0.4827067669172932,0.7216585301853271,-0.9156014354989465,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h1--seed20260909--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260909,False,20,20,0,,14,101.99164354801178,False,,,,,,-0.2781954887218045,0.8534855059498702,-0.801057058383029,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260910--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h1,20260910,False,20,20,0,,14,95.22310888767242,False,,,,,,-0.3383458646616541,0.8218470317663799,-0.835721804089162,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260908--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260908,False,20,20,0,,19,61.30864232778549,False,,,,,,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--continuous-fixed-h5--seed20260909--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260909,False,20,20,0,,14,100.15346693992615,False,,,,,,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h5--seed20260910--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,continuous-fixed-h5,20260910,False,20,20,0,,14,94.7202365398407,False,,,,,,-0.38345864661654133,0.7954816366134713,-0.8545613397990167,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--hybrid-fixed-h1--seed20260908--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260908,False,20,20,0,,19,44.150072515010834,False,,,,,,-0.8406015037593983,0.2583808724985044,-0.9593091583458099,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260909--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260909,False,20,20,0,,19,62.913766503334045,False,,,,,,-0.6601503759398496,0.5371007641149669,-0.987191671196395,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
decision--hybrid-fixed-h1--seed20260910--issue-77-n1-001--power,issue-77-n1-001-a00,issue-77-n1-001,type010103,training,hybrid-fixed-h1,20260910,False,20,20,0,,14,60.974734008312225,False,,,,,,-0.4466165413533834,0.7480239253382358,-0.8982690626458801,True,,power,-51,61,79.51100552753688,50.10216525235819,80,49.82737391542728,10.0,9.999338853190956
decision--continuous-fixed-h1--seed20260908--issue-77-n1-003--power,issue-77-n1-003-a00,issue-77-n1-003,type010103,training,continuous-fixed-h1,20260908,False,20,20,0,,19,52.56610929965973,False,,,,,,-0.49624060150375937,0.7088524811110573,-0.9231372497828885,True,,power,-27,75,79.71198153351854,70.20112364547508,80,70.1253667631526,10.0,9.999543486544423
