member,system,seed,within_power_pairs_release_1000,within_power_auc_release_1000
issue-77-n1-004,continuous-fixed-h1,20260908,3,0.6666666666666666
issue-77-n1-004,continuous-fixed-h1,20260909,3,1.0
issue-77-n1-004,continuous-fixed-h1,20260910,3,1.0
issue-77-n1-004,continuous-fixed-h5,20260908,3,0.6666666666666666
issue-77-n1-004,continuous-fixed-h5,20260909,3,1.0
issue-77-n1-004,continuous-fixed-h5,20260910,3,1.0
issue-77-n1-004,hybrid-fixed-h1,20260908,3,0.6666666666666666
issue-77-n1-004,hybrid-fixed-h1,20260909,3,0.6666666666666666
issue-77-n1-004,hybrid-fixed-h1,20260910,3,0.6666666666666666
issue-77-n1-005,continuous-fixed-h1,20260908,2,0.5
issue-77-n1-005,continuous-fixed-h1,20260909,2,1.0
issue-77-n1-005,continuous-fixed-h1,20260910,2,1.0
issue-77-n1-005,continuous-fixed-h5,20260908,2,0.5
issue-77-n1-005,continuous-fixed-h5,20260909,2,1.0
issue-77-n1-005,continuous-fixed-h5,20260910,2,1.0
issue-77-n1-005,hybrid-fixed-h1,20260908,2,0.5
issue-77-n1-005,hybrid-fixed-h1,20260909,2,0.5
issue-77-n1-005,hybrid-fixed-h1,20260910,2,0.5
issue-77-n1-006,continuous-fixed-h1,20260908,3,0.3333333333333333
issue-77-n1-006,continuous-fixed-h1,20260909,3,0.6666666666666666
issue-77-n1-006,continuous-fixed-h1,20260910,3,0.6666666666666666
issue-77-n1-006,continuous-fixed-h5,20260908,3,0.3333333333333333
issue-77-n1-006,continuous-fixed-h5,20260909,3,0.3333333333333333
issue-77-n1-006,continuous-fixed-h5,20260910,3,0.3333333333333333
issue-77-n1-006,hybrid-fixed-h1,20260908,3,0.3333333333333333
issue-77-n1-006,hybrid-fixed-h1,20260909,3,0.3333333333333333
issue-77-n1-006,hybrid-fixed-h1,20260910,3,0.3333333333333333
issue-77-n1-007,continuous-fixed-h1,20260908,3,0.6666666666666666
issue-77-n1-007,continuous-fixed-h1,20260909,3,1.0
issue-77-n1-007,continuous-fixed-h1,20260910,3,1.0
issue-77-n1-007,continuous-fixed-h5,20260908,3,0.6666666666666666
issue-77-n1-007,continuous-fixed-h5,20260909,3,1.0
issue-77-n1-007,continuous-fixed-h5,20260910,3,1.0
issue-77-n1-007,hybrid-fixed-h1,20260908,3,0.6666666666666666
issue-77-n1-007,hybrid-fixed-h1,20260909,3,0.6666666666666666
issue-77-n1-007,hybrid-fixed-h1,20260910,3,0.6666666666666666
issue-77-n1-008,continuous-fixed-h1,20260908,3,0.6666666666666666
issue-77-n1-008,continuous-fixed-h1,20260909,3,1.0
issue-77-n1-008,continuous-fixed-h1,20260910,3,1.0
issue-77-n1-008,continuous-fixed-h5,20260908,3,0.6666666666666666
issue-77-n1-008,continuous-fixed-h5,20260909,3,1.0
issue-77-n1-008,continuous-fixed-h5,20260910,3,1.0
issue-77-n1-008,hybrid-fixed-h1,20260908,3,0.6666666666666666
issue-77-n1-008,hybrid-fixed-h1,20260909,3,0.6666666666666666
issue-77-n1-008,hybrid-fixed-h1,20260910,3,1.0
issue-77-n1-009,continuous-fixed-h1,20260908,3,0.3333333333333333
issue-77-n1-009,continuous-fixed-h1,20260909,3,0.6666666666666666
issue-77-n1-009,continuous-fixed-h1,20260910,3,0.3333333333333333
issue-77-n1-009,continuous-fixed-h5,20260908,3,0.3333333333333333
issue-77-n1-009,continuous-fixed-h5,20260909,3,0.3333333333333333
issue-77-n1-009,continuous-fixed-h5,20260910,3,0.3333333333333333
issue-77-n1-009,hybrid-fixed-h1,20260908,3,0.3333333333333333
issue-77-n1-009,hybrid-fixed-h1,20260909,3,0.3333333333333333
issue-77-n1-009,hybrid-fixed-h1,20260910,3,0.6666666666666666
issue-77-n1-013,continuous-fixed-h1,20260908,3,0.3333333333333333
issue-77-n1-013,continuous-fixed-h1,20260909,3,0.6666666666666666
issue-77-n1-013,continuous-fixed-h1,20260910,3,0.3333333333333333
issue-77-n1-013,continuous-fixed-h5,20260908,3,0.3333333333333333
issue-77-n1-013,continuous-fixed-h5,20260909,3,0.3333333333333333
issue-77-n1-013,continuous-fixed-h5,20260910,3,0.3333333333333333
issue-77-n1-013,hybrid-fixed-h1,20260908,3,0.3333333333333333
issue-77-n1-013,hybrid-fixed-h1,20260909,3,0.3333333333333333
issue-77-n1-013,hybrid-fixed-h1,20260910,3,0.3333333333333333
issue-77-n1-014,continuous-fixed-h1,20260908,3,0.3333333333333333
issue-77-n1-014,continuous-fixed-h1,20260909,3,0.6666666666666666
issue-77-n1-014,continuous-fixed-h1,20260910,3,0.3333333333333333
issue-77-n1-014,continuous-fixed-h5,20260908,3,0.3333333333333333
issue-77-n1-014,continuous-fixed-h5,20260909,3,0.3333333333333333
issue-77-n1-014,continuous-fixed-h5,20260910,3,0.3333333333333333
issue-77-n1-014,hybrid-fixed-h1,20260908,3,0.3333333333333333
issue-77-n1-014,hybrid-fixed-h1,20260909,3,0.3333333333333333
issue-77-n1-014,hybrid-fixed-h1,20260910,3,0.3333333333333333
