id,inventory,statistic,value,interval_low,interval_high,interval_label,cells,members,detail
primary_theta_grid,grid,AUC_J - AUC_F* (F* = F-5-macro),0.06998299319727892,-0.005697278911564617,0.14365079365079364,DESCRIPTIVE,42,14,token readiness_or_precision_insufficient
token_J-M,grid,J-M token,readiness_or_precision_insufficient,,,,,,
token_J-OL,grid,J-OL token,readiness_or_precision_insufficient,,,,,,
guard_G1,,G1 pass,True,,,,,,"{""run_records"": [{""abs_cost_delta"": 0.0, ""arm"": ""J"", ""chosen"": 5, ""ok"": true, ""reference"": ""decision--hybrid-adaptive-e225--seed20260908--issue-77-n1-001-a00"", ""reference_chosen"": 5}, {""abs_cost_delta"": 0.0, ""arm"": ""F-15-continuous"", ""chosen"": 12, ""ok"": true, ""reference"": ""decision--hybrid-fixed-h15-e225--seed20260908--issue-77-n1-001-a00"", ""reference_chosen"": 12}], ""smoke"": [{""abs_cost_delta"": 0.0, ""chosen_ordinal_fresh"": 5, ""chosen_ordinal_retained"": 5, ""control"": ""G1_replication_J""}, {""abs_cost_delta"": 0.0, ""chosen_ordinal_fresh"": 12, ""chosen_ordinal_retained"": 12, ""control"": ""G1_replication_F-15-continuous""}]}"
guard_G2,,G2 pass,True,,,,,,"{""equal"": 15, ""members"": 15}"
guard_G3,,G3 pass,True,,,,,,"{""nonfinite_share"": 0.0, ""verdict_resolution"": 1.0}"
guard_G4,,G4 pass,False,,,,,,"{""cells"": 42, ""tied_cells"": 17, ""tied_share"": 0.40476190476190477}"
guard_G5,,G5 pass,True,,,,,,"{""J_modal_pair"": ""1-macro"", ""J_nonmodal_step_share"": 0.24147201147021924, ""rank_divergent_share"": 0.35714285714285715}"
guard_G6,,G6 pass,False,,,,,,"{""half_width"": 0.07467403628117913}"
guard_caps,,caps pass,True,,,,,,"{""gpu_seconds"": 503.75759667830425, ""status"": ""terminal"", ""wall_seconds"": 519.6720574840001}"
grid_J-F*,grid,J - F* [F-5-macro],0.06998299319727892,-0.005697278911564617,0.14365079365079364,DESCRIPTIVE,42,14,undefined 0
grid_J-F_hindsight,grid,J - F_hindsight [F-1-macro],-0.04195011337868482,-0.12945153061224488,0.047536139455782285,DESCRIPTIVE,42,14,undefined 0
"grid_J-F(1,macro)",grid,"J - F(1,macro)",-0.04195011337868482,-0.12945153061224488,0.047536139455782285,DESCRIPTIVE,42,14,undefined 0
"grid_J-F(1,continuous)",grid,"J - F(1,continuous)",-0.039824263038548746,-0.10839002267573697,0.0229315476190476,DESCRIPTIVE,42,14,undefined 0
grid_J-M,grid,J - M,-0.02148526077097506,-0.07063492063492063,0.024149659863945572,DESCRIPTIVE,42,14,undefined 0
grid_J-OL,grid,J - OL,-0.05198412698412698,-0.11924603174603175,0.017295209750566823,DESCRIPTIVE,42,14,undefined 0
grid_J-T,grid,J - T,-0.027749433106575964,-0.06542020975056692,0.011423611111111098,DESCRIPTIVE,42,14,undefined 0
grid_J-D,grid,J - D,-0.038690476190476185,-0.12060728458049888,0.044274376417233544,DESCRIPTIVE,42,14,undefined 0
grid_C-J-C-F*,grid,C-J - C-F* [C-F-5],0.03639455782312927,-0.04240362811791383,0.11519841269841262,DESCRIPTIVE,42,14,undefined 0
grid_top1_J-F*,grid,top-1 J - F* [F-5-macro] (pooled descriptive),0.0,0.0,0.0,DESCRIPTIVE,42,14,J 0/42; F* 0/42; chance 0.08035714285714286
grid_spread,grid,fixed-pair spread max_F - min_F,0.5098072562358277,0.4238081065759637,0.5969387755102041,DESCRIPTIVE,42,14,
grid_auc_F-1-continuous,grid,AUC F-1-continuous,0.5104308390022675,0.4826530612244898,0.5355442176870747,DESCRIPTIVE,42,14,
grid_auc_F-1-micro,grid,AUC F-1-micro,0.49319727891156456,0.46388747165532884,0.5198412698412698,DESCRIPTIVE,42,14,
grid_auc_F-1-macro,grid,AUC F-1-macro,0.5125566893424037,0.46746031746031746,0.5626140873015872,DESCRIPTIVE,42,14,
grid_auc_F-5-continuous,grid,AUC F-5-continuous,0.4145124716553288,0.3367290249433106,0.4795918367346938,DESCRIPTIVE,42,14,
grid_auc_F-5-micro,grid,AUC F-5-micro,0.42528344671201807,0.3683106575963718,0.4840136054421769,DESCRIPTIVE,42,14,
grid_auc_F-5-macro,grid,AUC F-5-macro,0.4006235827664399,0.34750566893424034,0.4611692176870748,DESCRIPTIVE,42,14,
grid_auc_F-15-continuous,grid,AUC F-15-continuous,0.49178004535147396,0.4107709750566894,0.5836167800453514,DESCRIPTIVE,42,14,
grid_auc_F-15-micro,grid,AUC F-15-micro,0.47908163265306125,0.3950666099773243,0.5783475056689341,DESCRIPTIVE,42,14,
grid_auc_F-15-macro,grid,AUC F-15-macro,0.4912131519274376,0.45453514739229023,0.526078514739229,DESCRIPTIVE,42,14,
grid_auc_J,grid,AUC J,0.47060657596371885,0.41581632653061223,0.525595238095238,DESCRIPTIVE,42,14,
grid_auc_M,grid,AUC M,0.4920918367346939,0.434750566893424,0.5458623866213151,DESCRIPTIVE,42,14,
grid_auc_T,grid,AUC T,0.4983560090702948,0.4626962868480726,0.5295939625850339,DESCRIPTIVE,42,14,
grid_auc_D,grid,AUC D,0.5092970521541951,0.4590121882086169,0.5675751133786848,DESCRIPTIVE,42,14,
grid_auc_OL,grid,AUC OL,0.5225907029478458,0.4738081065759638,0.5740376984126984,DESCRIPTIVE,42,14,
grid_auc_C-F-1,grid,AUC C-F-1,0.4678287981859411,0.44725056689342413,0.4865646258503401,DESCRIPTIVE,42,14,
grid_auc_C-F-5,grid,AUC C-F-5,0.48560090702947845,0.4323100907029478,0.5325396825396824,DESCRIPTIVE,42,14,
grid_auc_C-F-15,grid,AUC C-F-15,0.5056689342403629,0.4303854875283447,0.5863959750566894,DESCRIPTIVE,42,14,
grid_auc_C-J,grid,AUC C-J,0.5219954648526077,0.4741468253968253,0.5663265306122448,DESCRIPTIVE,42,14,
grid_coverage,grid,successful slots resolved within endpoint 225,11,,,,,,"{""reached_within_225"": 11, ""resolution_step_unmeasured"": 0, ""successful_slots"": 17}"
offset_J-F*,offset,J - F* [F-1-macro],0.003703703703703707,-0.07962962962962963,0.0925925925925926,DESCRIPTIVE,27,9,undefined 0
offset_J-F_hindsight,offset,J - F_hindsight [F-5-macro],-0.08703703703703704,-0.15000000000000002,-0.025925925925925918,DESCRIPTIVE,27,9,undefined 0
"offset_J-F(1,macro)",offset,"J - F(1,macro)",0.003703703703703707,-0.07962962962962963,0.0925925925925926,DESCRIPTIVE,27,9,undefined 0
"offset_J-F(1,continuous)",offset,"J - F(1,continuous)",-0.009259259259259255,-0.08148148148148149,0.06296296296296296,DESCRIPTIVE,27,9,undefined 0
offset_J-M,offset,J - M,-0.01666666666666667,-0.08888888888888889,0.049999999999999996,DESCRIPTIVE,27,9,undefined 0
offset_J-OL,offset,J - OL,-0.0018518518518518515,-0.049999999999999996,0.044444444444444446,DESCRIPTIVE,27,9,undefined 0
offset_J-T,offset,J - T,-0.033333333333333326,-0.08888888888888889,0.01851851851851852,DESCRIPTIVE,27,9,undefined 0
offset_J-D,offset,J - D,-0.022222222222222223,-0.1111111111111111,0.06296296296296296,DESCRIPTIVE,27,9,undefined 0
offset_C-J-C-F*,offset,C-J - C-F* [C-F-5],-0.07777777777777778,-0.14814814814814814,0.014814814814814817,DESCRIPTIVE,27,9,undefined 0
offset_top1_J-F*,offset,top-1 J - F* [F-1-macro] (pooled descriptive),-0.037037037037037035,-0.1111111111111111,0.0,DESCRIPTIVE,27,9,J 0/27; F* 1/27; chance 0.10303030303030301
offset_spread,offset,fixed-pair spread max_F - min_F,0.4444444444444444,0.3611111111111111,0.538888888888889,DESCRIPTIVE,27,9,
offset_auc_F-1-continuous,offset,AUC F-1-continuous,0.5166666666666667,0.48148148148148145,0.5555555555555556,DESCRIPTIVE,27,9,
offset_auc_F-1-micro,offset,AUC F-1-micro,0.5,0.4888888888888888,0.5111111111111111,DESCRIPTIVE,27,9,
offset_auc_F-1-macro,offset,AUC F-1-macro,0.5037037037037037,0.4444444444444444,0.5592592592592592,DESCRIPTIVE,27,9,
offset_auc_F-5-continuous,offset,AUC F-5-continuous,0.574074074074074,0.5074074074074075,0.6481481481481481,DESCRIPTIVE,27,9,
offset_auc_F-5-micro,offset,AUC F-5-micro,0.5759259259259258,0.4907407407407407,0.659305555555555,DESCRIPTIVE,27,9,
offset_auc_F-5-macro,offset,AUC F-5-macro,0.5944444444444444,0.5166666666666666,0.6740740740740742,DESCRIPTIVE,27,9,
offset_auc_F-15-continuous,offset,AUC F-15-continuous,0.4407407407407407,0.34814814814814815,0.5037037037037037,DESCRIPTIVE,27,9,
offset_auc_F-15-micro,offset,AUC F-15-micro,0.4870370370370371,0.4148148148148148,0.5444444444444445,DESCRIPTIVE,27,9,
offset_auc_F-15-macro,offset,AUC F-15-macro,0.5222222222222223,0.48888888888888893,0.5592592592592593,DESCRIPTIVE,27,9,
offset_auc_J,offset,AUC J,0.5074074074074074,0.4555555555555555,0.5592592592592592,DESCRIPTIVE,27,9,
offset_auc_M,offset,AUC M,0.524074074074074,0.47962962962962963,0.574074074074074,DESCRIPTIVE,27,9,
offset_auc_T,offset,AUC T,0.5407407407407407,0.5074074074074074,0.5814814814814814,DESCRIPTIVE,27,9,
offset_auc_D,offset,AUC D,0.5296296296296296,0.45185185185185184,0.6074074074074074,DESCRIPTIVE,27,9,
offset_auc_OL,offset,AUC OL,0.5092592592592592,0.4740740740740741,0.5444444444444444,DESCRIPTIVE,27,9,
offset_auc_C-F-1,offset,AUC C-F-1,0.5203703703703704,0.48888888888888893,0.5518981481481474,DESCRIPTIVE,27,9,
offset_auc_C-F-5,offset,AUC C-F-5,0.624074074074074,0.5277777777777777,0.7092592592592593,DESCRIPTIVE,27,9,
offset_auc_C-F-15,offset,AUC C-F-15,0.5518518518518518,0.4592592592592592,0.6407407407407406,DESCRIPTIVE,27,9,
offset_auc_C-J,offset,AUC C-J,0.5462962962962963,0.4962962962962963,0.5925925925925924,DESCRIPTIVE,27,9,
offset_coverage,offset,successful slots resolved within endpoint 225,3,,,,,,"{""reached_within_225"": 3, ""resolution_step_unmeasured"": 0, ""successful_slots"": 9}"
angle_J-F*,angle,J - F* [F-1-macro],0.05952380952380953,0.007886904761904786,0.1130952380952381,DESCRIPTIVE,21,7,undefined 0
angle_J-F_hindsight,angle,J - F_hindsight [F-5-macro],-0.06908369408369408,-0.12067099567099566,-0.011904761904761892,DESCRIPTIVE,21,7,undefined 0
"angle_J-F(1,macro)",angle,"J - F(1,macro)",0.05952380952380953,0.007886904761904786,0.1130952380952381,DESCRIPTIVE,21,7,undefined 0
"angle_J-F(1,continuous)",angle,"J - F(1,continuous)",0.04563492063492063,0.007936507936507934,0.09325396825396827,DESCRIPTIVE,21,7,undefined 0
angle_J-M,angle,J - M,-0.005772005772005773,-0.02777777777777777,0.01190476190476191,DESCRIPTIVE,21,7,undefined 0
