split	level_path	output_dir	status
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00001_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00001_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00002_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00002_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00003_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00003_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00004_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00004_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00005_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00005_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00006_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00006_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00008_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00008_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00009_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00009_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00010_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00010_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00011_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00011_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00012_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00012_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00014_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00014_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00017_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00017_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00019_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00019_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00020_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00020_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00022_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00022_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00023_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00023_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00024_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00024_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00025_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00025_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00026_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00026_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00027_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00027_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00028_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00028_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00029_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00029_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00030_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00030_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00031_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00031_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00033_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00033_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00035_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00035_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00037_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00037_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00038_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00038_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00039_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00039_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00040_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00040_0_1_010101_0_1	1
train	9001_Data/StreamingAssets/Levels/novelty_level_0/type010101/Levels/00041_0_1_010101_0_1.xml	data/novphy_rollouts_dataset/train/novelty_level_0_type010101_00041_0_1_010101_0_1	1
