[native-refit] retain completed predictor-hybrid-760930001; no new optimizer work or allowance
[native-refit] retain completed predictor-pure-760930001; no new optimizer work or allowance
[native-refit] retain completed predictor-hybrid-760930002; no new optimizer work or allowance
[native-refit] retain completed predictor-pure-760930002; no new optimizer work or allowance
[native-refit] predictor-hybrid-760930003 updates=9124/12000 applied=9051 skipped=73 loss=5.552170276641846 budget=1797.2/14400s ETA=1588.7s CUDA=434.8MiB
[native-refit] predictor-hybrid-760930003 updates=9139/12000 applied=9065 skipped=74 loss=0.42843520641326904 budget=1803.0/14400s ETA=1300.8s CUDA=435.6MiB
[native-refit] predictor-hybrid-760930003 updates=9151/12000 applied=9077 skipped=74 loss=62.99325942993164 budget=1808.4/14400s ETA=1286.5s CUDA=435.6MiB
[native-refit] predictor-hybrid-760930003 updates=9163/12000 applied=9089 skipped=74 loss=0.4930744767189026 budget=1813.5/14400s ETA=1267.0s CUDA=436.7MiB
[native-refit] predictor-hybrid-760930003 updates=9175/12000 applied=9101 skipped=74 loss=0.3125540018081665 budget=1818.6/14400s ETA=1249.6s CUDA=436.7MiB
[native-refit] predictor-hybrid-760930003 updates=9187/12000 applied=9113 skipped=74 loss=0.7467108368873596 budget=1824.1/14400s ETA=1250.0s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9200/12000 applied=9126 skipped=74 loss=0.031766101717948914 budget=1829.3/14400s ETA=1224.8s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9211/12000 applied=9137 skipped=74 loss=0.18133698403835297 budget=1834.9/14400s ETA=1242.0s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9223/12000 applied=9149 skipped=74 loss=0.46870604157447815 budget=1840.1/14400s ETA=1235.5s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9235/12000 applied=9161 skipped=74 loss=0.07949032634496689 budget=1845.3/14400s ETA=1226.2s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9247/12000 applied=9173 skipped=74 loss=0.1934140920639038 budget=1850.7/14400s ETA=1221.9s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9259/12000 applied=9185 skipped=74 loss=0.7723520398139954 budget=1856.1/14400s ETA=1217.9s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9271/12000 applied=9197 skipped=74 loss=0.06787465512752533 budget=1861.3/14400s ETA=1210.1s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9283/12000 applied=9209 skipped=74 loss=0.17093336582183838 budget=1866.6/14400s ETA=1205.4s CUDA=437.5MiB
[native-refit] predictor-hybrid-760930003 updates=9295/12000 applied=9221 skipped=74 loss=0.7505844831466675 budget=1871.9/14400s ETA=1199.3s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9310/12000 applied=9235 skipped=75 loss=0.2122957408428192 budget=1877.8/14400s ETA=1182.8s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9322/12000 applied=9247 skipped=75 loss=0.675068736076355 budget=1883.0/14400s ETA=1176.5s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9334/12000 applied=9259 skipped=75 loss=0.052753470838069916 budget=1888.4/14400s ETA=1172.0s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9346/12000 applied=9271 skipped=75 loss=0.1598254293203354 budget=1894.1/14400s ETA=1171.7s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9358/12000 applied=9283 skipped=75 loss=0.6522662043571472 budget=1899.5/14400s ETA=1167.7s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9370/12000 applied=9295 skipped=75 loss=0.05816159024834633 budget=1904.8/14400s ETA=1162.1s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9382/12000 applied=9307 skipped=75 loss=0.17786405980587006 budget=1910.3/14400s ETA=1159.2s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9394/12000 applied=9318 skipped=76 loss=0.36119160056114197 budget=1915.4/14400s ETA=1152.2s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9406/12000 applied=9330 skipped=76 loss=0.046954430639743805 budget=1920.7/14400s ETA=1146.4s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9418/12000 applied=9342 skipped=76 loss=0.16669005155563354 budget=1926.1/14400s ETA=1142.0s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9430/12000 applied=9354 skipped=76 loss=0.6323168873786926 budget=1931.3/14400s ETA=1136.1s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9442/12000 applied=9366 skipped=76 loss=0.06288262456655502 budget=1936.4/14400s ETA=1129.2s CUDA=437.8MiB
[native-refit] predictor-hybrid-760930003 updates=9454/12000 applied=9378 skipped=76 loss=0.156437486410141 budget=1941.9/14400s ETA=1124.9s CUDA=437.8MiB
